,date,id,content,username,like_count,retweet_count
0,2023-06-24 12:49:22+00:00,1672587719594377217,"mau tanya dong, cara dapet kartu buat naik Biskita Trans Pakuan Bogor gimana ya? atau beli kek kartu KRL gitu?",fachsamalvin,0,0
1,2023-06-24 11:23:18+00:00,1672566059885527040,"udah lama disini, tapi baru ini naik transpakuan malem” https://t.co/hTwPMtK4oJ",messydotfii,0,0
2,2023-06-24 10:10:34+00:00,1672547758547558401,"Trans Jakarta ✅
Trans Pakuan ✅
Batik Solo Trans ✅
Trans Jogja ✅

Bulan depan transit di Makassar tapi masih ga yakin buat coba transumnya 🥲",junaediahmad,0,0
3,2023-06-24 01:37:33+00:00,1672418652975665152,@txtdaribogor @Hafidh_M @adriansyahyasin Pake transpakuan nyampenya brp jam wkwkwk,Merimerssssssss,0,0
4,2023-06-23 16:16:29+00:00,1672277456718557185,@zvkit @AsahPolaPikir transpakuan,str3ssedoutt,0,0
5,2023-06-23 09:38:10+00:00,1672177218087456768,"@asumsico jgnkan ini, mrt lrt ampe transpakuan bogor aja uji coba gratis dulu, apalagi tp bogor ampe setaun, itung2 tester narik pelanggan, kalo cocok kan nnti banyak pengguna langganan, buat balik modal juga tuh",matchaaa_aa,3,0
6,2023-06-23 09:35:52+00:00,1672176636182265858,"@literaryStanza @asumsico Lrt, transpakuan bogor aja awal2 uji coba gratis, kan itung2 tester bep, buat narik pengguna dulu kalo cocok kan nnti banyak peminatnya buat balik modal tuh, yakali langsung jeplak bayar 300rb",matchaaa_aa,0,0
7,2023-06-23 07:55:28+00:00,1672151369221029889,@txtdaribogor Masa2 kuliah naik bis trans pakuan (bubulak-cidangiang) lewat jalan baru macetnya gak ngotak. 😅,gieznugraha,0,0
8,2023-06-23 07:42:44+00:00,1672148164466589696,"@Hafidh_M @adriansyahyasin Bogor (Transpakuan) - Cibubur 
LRT Cibubur - Cawang - Halim

jadi opsi ke 2 dari Bogor",txtdaribogor,57,3
9,2023-06-23 07:07:41+00:00,1672139343727837185,Perumda Transpakuan mengusulkan tarif khusus untuk sejumlah kalangan. https://t.co/8rsk7iPnPu,republikaonline,2,0
10,2023-06-21 16:05:03+00:00,1671549804542046209,Catat! Ini Info Trayek Biskita Transpakuan Bogor Selama Revitalisasi Jembatan Otista https://t.co/iXwGuF4z97,AyoBogorCom,0,0
11,2023-06-20 09:54:39+00:00,1671094200979570689,eh cara naik transpakuan gmn deh dan rutenya gmn?,ziaojunn,0,0
12,2023-06-18 16:51:06+00:00,1670474226506280961,"@stillgray @geregepgep bukan brainwash katanya, cuman mau nyelamatin anak kecil yg merasa dirinya trans😂 transpakuan kali ah",sweettalkerliar,0,0
13,2023-06-18 12:59:35+00:00,1670415964083728384,"@txtdaribogor sebagai warga kota bogor, saya maunya justru kota bogor bebas dari angkot. Perbanyak unit dan perluas jangkauan trans pakuan.. untuk wilayah jalan kecil dan agak masuk sudah ada ojol ini",EkoGunaw112358,0,0
14,2023-06-18 10:19:15+00:00,1670375616322088960,"@MDHFNK Halte Trans Pakuan jarauh teu jiga halte BST Solo, suudzon mah faktor di Bogor loba keneh angkot",Kamilisme,0,0
15,2023-06-18 10:10:43+00:00,1670373470218362881,"Hari ini (18/6) mimin menaiki Bus Biskita Trans Pakuan Koridor 5 (St Bogor - Ciparigi). Saat ini bus tersebut sudah berbayar menjadi Rp 4000,- , sehingga mengurangi jumlah penumpang yang naik bus kota tersebut. https://t.co/MUbJbCMnx4",jalur5_,14,0
16,2023-06-18 09:31:16+00:00,1670363539910062080,"@txtdaribogor Enaknya angkot mmg bisa turun tepat di depan tempat tujuan, tp rasany kalo transpakuan diperbanyak ato bis kira, ada baiknya banyakin haltenya jg",aaaanilla,2,0
17,2023-06-18 09:24:33+00:00,1670361851266490371,@txtdaribogor Halal buat di tubruk trans Pakuan,rezzairianto_17,7,0
18,2023-06-18 08:26:28+00:00,1670347231667552257,"@txtdaribogor Emang enak pake transpakuan, cuman skrng gatau masih gratis atau engga wkwk",Rvin_Satria,0,0
19,2023-06-18 05:16:17+00:00,1670299370884071424,"Udah paling bener angkot ilangin, ganti sama Transpakuan.",justsolva,0,0
20,2023-06-18 05:06:06+00:00,1670296809321947137,"Angkot ijo = Angkot Bogor Kota.

Alasan mengapa Transpakuan harus diintegrasikan dengan angkot agar lebih tertib. https://t.co/BbXNgdAqLM",txtdaribogor,2472,562
