,date,id,content,username,like_count,retweet_count
0,2023-06-24 23:02:44+00:00,1672742080010133505,"@junehokiw @bogorfess_ kurangg tau kalo itu, cuman barusan gua abis dari luar udaa ada biskita dijalanan.",mengsanss,0,0
1,2023-06-24 22:45:38+00:00,1672737774288654337,[bgr] biskita jam segini udah ada belum guys??,bogorfess_,1,1
2,2023-06-24 14:59:42+00:00,1672620519907262466,angkot berguna soalnya yakali lu dr bogor ampe cangkrang mau JALAN KAKI mikir dah mnurut gw mah mau pake biskita emg biskita muat lewat nagrak💀💀💀💀 ngakak anyinh,ayangwendy,0,0
3,2023-06-24 14:39:07+00:00,1672615338356379649,[bgr] bayar biskita bisa pake kartu apa aja ya??,bogorfess_,1,0
4,2023-06-24 13:24:14+00:00,1672596495693139975,@bogorfess_ Caranya gimana min?? Aku mau nanya seputat biskita nihh :',hottaekk,0,0
5,2023-06-24 12:49:22+00:00,1672587719594377217,"mau tanya dong, cara dapet kartu buat naik Biskita Trans Pakuan Bogor gimana ya? atau beli kek kartu KRL gitu?",fachsamalvin,0,0
6,2023-06-24 12:32:09+00:00,1672583388035964929,"ah lama bgt inimahh, nunggu biskita dateng",gagaxputih,0,0
7,2023-06-24 03:17:24+00:00,1672443781231312896,@rundiiin ngetem wkwkw biskita mah udh ada jam brangkatnya gasii,aktrsure,0,0
8,2023-06-24 02:04:04+00:00,1672425327359033345,"@FixedShadow007 @sanjaygupta_1 @ajitanjum modiji ke paas inhi biskuton ka pura box hai. jante ho na kis kis ko khila rahe hai. shayad kuch biskita whatsapp university se hote hue aap ke paas bhi aa gaye ho. sorry, iss bhasha ke liye. lekin agar aapne logic ke adhar par ajit ji ki baat ko kata hota to me ye nahi kehta.",shivK_90,0,0
9,2023-06-23 20:25:33+00:00,1672340133830623233,"halo kakak2 yg domisili kota bogor atau kerja di kota bogor, boleh minta waktunya sebentar untuk bantu isi kuesioner penelitian aku? terimakasih sebelumnya🫶✨

link kuesioner :

https://t.co/xGRsyPoRTj

#kuesioner #transportasi #transportasiumum #kotabogor #bogorkota #biskita",agapatri,0,0
10,2023-06-23 15:15:39+00:00,1672262147097919489,"halo kakak2 yg domisili kota bogor atau kerja di kota bogor, boleh minta waktunya sebentar untuk bantu isi kuesioner penelitian aku? terimakasih sebelumnya🫶✨

link kuesioner :

https://t.co/xGRsyPoRTj

#kuesioner #transportasi #transportasiumum #kotabogor #bogorkota #biskita",agapatri,0,0
11,2023-06-23 14:40:59+00:00,1672253423650217985,"Satu Bulan Pakai Tarif, Jumlah Penumpang BisKita Turun Setengahnya https://t.co/ZjxMm6a9II",radarbogorID,0,0
12,2023-06-23 08:39:17+00:00,1672162395891060738,Ini kalo biskita bogor bisa ga sih? Sayang nih gua punya 3 kartu yg masih ada saldonya 😂😂,riila_hannie,0,0
13,2023-06-23 01:31:52+00:00,1672054836563685378,"biskita ini udah berbayar malah makin jelek banget kualitasnya, apa-apaan gue udah nunggu hampir sejam belum datang juga busnya:) kejadian kayak gini, gak sekali dua kali lagi:)",freallvv,0,0
14,2023-06-22 15:22:53+00:00,1671901577249165314,"@thiadoraemon @SukabumiiFess Sekalian aku tambahin tarif nya kwkw
1. Bsd &gt; bogor (5-8k) 
2. Biskita (4k) 
3. Angkot ciawi-lido (10k)",ADJGSFKHL,0,0
15,2023-06-22 10:41:51+00:00,1671830852760899585,"@SukabumiiFess 1. dari BSD naik KRL ke Bogor
2. dari stasiun bogor naik BisKita arah ciawi, turun di Halte Sindang Sari 2
3. dari halte naik angkot ke cicurug turun deh di Lido .",thiadoraemon,0,0
16,2023-06-22 05:54:24+00:00,1671758516871389185,"@bogorfess_ Tetep asik nder pake biskita meski udh berbayar. Aku prefer ini sih kalau ke kota karena ga ngetem lama dan berac :"") btw aku juga dari pamijahan loh nder 😭😭",Intanoona,0,0
17,2023-06-22 04:30:39+00:00,1671737437272567808,"@infobogor Wah,bakal pake @Biskita_id kah?",priyo_pio,0,0
