date,id,username,like_count,retweet_count,label-fix,tweets,tweets-cleaned
2023-06-24 14:59:42,1.67262e+18,ayangwendy,0,0,Negatif,angkot berguna soalnya yakali lu dr bogor ampe cangkrang mau JALAN KAKI mikir dah mnurut gw mah mau pake biskita emg biskita muat lewat nagrak💀💀💀💀 ngakak anyinh,angkot berguna soalnya yakali lu dr bogor ampe cangkrang mau jalan kaki mikir dah mnurut gw mah mau pake biskita emg biskita muat lewat nagrak ngakak anyinh
2023-06-24 12:32:09,1.67258e+18,gagaxputih,0,0,Negatif,"ah lama bgt inimahh, nunggu biskita dateng",ah lama bgt inimahh nunggu biskita dateng
2023-06-23 14:40:59,1.67225e+18,radarbogorID,0,0,Negatif,"Satu Bulan Pakai Tarif, Jumlah Penumpang BisKita Turun Setengahnya https://t.co/ZjxMm6a9II",satu bulan pakai tarif jumlah penumpang biskita turun setengahnya
2023-06-23 01:31:52,1.67205e+18,freallvv,0,0,Negatif,"biskita ini udah berbayar malah makin jelek banget kualitasnya, apa-apaan gue udah nunggu hampir sejam belum datang juga busnya:) kejadian kayak gini, gak sekali dua kali lagi:)",biskita ini udah berbayar malah makin jelek banget kualitasnya apa apaan gue udah nunggu hampir sejam belum datang juga busnya kejadian kayak gini gak sekali dua kali lagi
2023-06-22 03:54:24,1.67173e+18,itsnyemils,0,0,Negatif,"@bogorfess_ Ibu gue termasuk kaum yg masih males naek biskita dan lebih milih angkot. Alesannya, udh tua harus jalan dr halte ke tempat tujuan cangkeul katanya. Mending angkot, bebas turun dimana aja🙏",ibu gue termasuk kaum yg masih males naek biskita dan lebih milih angkot alesannya udh tua harus jalan dr halte ke tempat tujuan cangkeul katanya mending angkot bebas turun dimana aja
2023-06-21 14:45:16,1.67153e+18,scalIions,0,0,Negatif,"@bogorfess_ Real, sabtu kemaren gw naek biskita cuma 2 orang, weekend yg biasanya penuh jaman gratisan dulu skrg bisa sepi gitu",real sabtu kemaren gw naek biskita cuma orang weekend yg biasanya penuh jaman gratisan dulu skrg bisa sepi gitu
2023-06-21 04:07:57,1.67137e+18,ptrnrylstyntp,0,0,Negatif,"Naik biskita dikira bakal rada kosong gt yach. Soalnya tiap liat kek kosong mulu gituuu

Taunya rame wkkwkw. Padahal naik di halte ke 2","naik biskita dikira bakal rada kosong gt yach soalnya tiap liat kek kosong mulu gitu

taunya rame wkkwkw padahal naik di halte ke"
2023-06-19 03:54:25,1.67064e+18,jungsistersss,0,0,Negatif,Anjrottt biskita mahal amat sihh🙄,anjrot biskita mahal amat sihh
2023-06-19 00:31:52,1.67059e+18,yeageri,0,0,Negatif,ini gua naik biskita tapi ga turun gapapa gaksi maksudnya gw udah berangkat terus dijalan baru dibilang gausah masuk emang ajgg apa turun aj apa gausah gw takut ditegor eh,ini gua naik biskita tapi ga turun gapapa gaksi maksudnya gw udah berangkat terus dijalan baru dibilang gausah masuk emang ajgg apa turun aj apa gausah gw takut ditegor eh
2023-06-18 22:36:18,1.67056e+18,kiddotokki,0,0,Negatif,"baru aja pada demo kan yg masalah biskita masih gratis bikin penumpang berkurang, terus tiba² aja kelar hari itu jg, gatau dah tu diapain 😂 emang susah mau maju, ada contoh kayak jaklingko tapi ga diadaptasi sampe skrg 😀",baru aja pada demo kan yg masalah biskita masih gratis bikin penumpang berkurang terus tiba aja kelar hari itu jg gatau dah tu diapain emang susah mau maju ada contoh kayak jaklingko tapi ga diadaptasi sampe skrg
2023-06-18 16:52:46,1.67047e+18,ReyDwp,0,0,Negatif,"@txtdaribogor udah bener2 ga respect ama ni transportasi, kirain abis demoin biskita kemaren bakal ada bebenah juga dari kerjanya mereka,taunya masih gitu2 aja, emg udah ga relevan ini transportasi makin kesini, yuk bisa yuk pelan2 dirombak (lagi)🗿😂",udah bener ga respect ama ni transportasi kirain abis demoin biskita kemaren bakal ada bebenah juga dari kerjanya mereka taunya masih gitu aja emg udah ga relevan ini transportasi makin kesini yuk bisa yuk pelan dirombak lagi
2023-06-18 06:11:58,1.67031e+18,chyaanggraeni96,0,0,Negatif,"@nando_sawamura @txtdaribogor Apalagi kalo tetiba ngetem di depan halte bis kita 😭 dah lama antre paling depan tapi karena ada angkot disitu biskita berhenti nya jadi lebih maju, kek percuma aing ngantri lama lama 🥺🥺",apalagi kalo tetiba ngetem di depan halte bis kita dah lama antre paling depan tapi karena ada angkot disitu biskita berhenti nya jadi lebih maju kek percuma aing ngantri lama lama
2023-06-17 00:50:54,1.66987e+18,freallvv,0,0,Negatif,percuma banget gue lari ngejar biskita akhirnya tetep ditinggal:),percuma banget gue lari ngejar biskita akhirnya tetep ditinggal
2023-06-16 11:29:55,1.66967e+18,klekalagi,0,0,Negatif,hidup gua kalo ga kuliah ya maki-maki biskita alias anj gaada perubahannya pisan udh berbayar ge,hidup gua kalo ga kuliah ya maki maki biskita alias anj gaada perubahannya pisan udh berbayar ge
2023-06-16 04:24:00,1.66956e+18,exxtraordnary,0,0,Negatif,ni app biskita gunanya apa da😞,ni app biskita gunanya apa da
2023-06-16 03:38:20,1.66955e+18,ltychee,0,0,Negatif,"aplikasi biskita knp pas dibuka no connection mulu sih, padahal sinyal gue bagus bagus aje",aplikasi biskita knp pas dibuka no connection mulu sih padahal sinyal gue bagus bagus aje
2023-06-15 18:44:38,1.66942e+18,urDailydoseee,0,0,Negatif,ntah lampu merahnya mati atau gmn. Di MCD lodaya biskita main gas belok ke mcd dari arah kebun raya padahal dari arah bk ada 3 motor masih jalan. arah bk lagi ijo sih tapi dari arah kebun raya keknya lagi ijo juga.  @PemkotaBogor  @Biskita_id,ntah lampu merahnya mati atau gmn di mcd lodaya biskita main gas belok ke mcd dari arah kebun raya padahal dari arah bk ada motor masih jalan arah bk lagi ijo sih tapi dari arah kebun raya keknya lagi ijo juga
2023-06-15 11:47:28,1.66931e+18,pleuvoirin,0,0,Negatif,"si aku pernah mengalami waktu masi kemana-mana pake biskita (bogor punya eak)

harusnya berhenti di halte depan sekolah, tapi si aku kehalangan orang jadi gabisa mencet tombol supaya dibukain pintu dan malah kebawa ke halte berikutnya yang lumayan jauh.. itu pas ulangan pula 😭😭","si aku pernah mengalami waktu masi kemana mana pake biskita bogor punya eak 

harusnya berhenti di halte depan sekolah tapi si aku kehalangan orang jadi gabisa mencet tombol supaya dibukain pintu dan malah kebawa ke halte berikutnya yang lumayan jauh itu pas ulangan pula"
2023-06-14 14:02:13,1.66898e+18,jenouswift,0,0,Negatif,hari ini kayak naik biskita di bubulak alias terombang ambing,hari ini kayak naik biskita di bubulak alias terombang ambing
2023-06-14 11:49:30,1.66895e+18,freallvv,0,0,Negatif,"najis banget gue nunggu biskita hampir 40 menit, lama banget dih",najis banget gue nunggu biskita hampir menit lama banget dih
2023-06-14 09:14:50,1.66891e+18,pengengambis,0,0,Negatif,@mangkoxx dulu self reward gue keliling Bogor naik biskita sampe Ciawi SKRG GABISA KRN BAYAR 💔,dulu self reward gue keliling bogor naik biskita sampe ciawi skrg gabisa krn bayar
2023-06-14 09:11:54,1.66891e+18,mangkoxx,0,0,Negatif,demi apa skrng biskita bayar 4k,demi apa skrng biskita bayar
2023-06-12 08:56:04,1.66818e+18,akunipunyaakun,0,0,Negatif,Biskita mana sih anzinkkk udh bayar masi begini juga,biskita mana sih anzink udh bayar masi begini juga
2023-06-12 06:41:45,1.66815e+18,onsitee_,0,0,Negatif,"eh sp yang setuju kalo setiap biskita dah nyampe terminal bubulak, gua beneran tkt bisnya kebalik soalnya jalannya jelek bgtt jir bolong2",eh sp yang setuju kalo setiap biskita dah nyampe terminal bubulak gua beneran tkt bisnya kebalik soalnya jalannya jelek bgtt jir bolong
2023-06-10 11:48:01,1.6675e+18,wujijuyu,0,0,Negatif,gue orang bogor tapi bingung sama rute biskita bogor,gue orang bogor tapi bingung sama rute biskita bogor
2023-06-10 10:23:02,1.66748e+18,njaemmmn,0,0,Negatif,biskita koridor 1 klo sore jrg bgtt😮‍💨😮‍💨,biskita koridor klo sore jrg bgtt
2023-06-10 08:28:38,1.66745e+18,nqrak,0,0,Negatif,ni biskita k2 lama bgtt,ni biskita lama bgtt
2023-06-09 01:12:16,1.66698e+18,amuteunbts,0,0,Negatif,Yyyaaaah biskita dah bayar skrg,yaah biskita dah bayar skrg
2023-06-08 16:28:56,1.66684e+18,m_fadhilamin,1,0,Negatif,"@milawiyono Mohon perbaikannya @biskita
Kasihan ini temen saya. Wkwkwk","mohon perbaikannya 
kasihan ini temen saya wkwkwk"
2023-06-07 01:02:22,1.66625e+18,zofast,0,0,Negatif,@txtdaribogor Sama itu tolong banget tertibin taxol yg jemput dan drop penumpang di stasiun Bogor. Carut marut biskita angkot taxol ojol campur jadi satu disana. Saran saya semoga ada aturan untuk pejemput harus masuk ke area parkir stasiun.,sama itu tolong banget tertibin taxol yg jemput dan drop penumpang di stasiun bogor carut marut biskita angkot taxol ojol campur jadi satu disana saran saya semoga ada aturan untuk pejemput harus masuk ke area parkir stasiun
2023-06-05 09:52:04,1.66566e+18,klekalagi,0,0,Negatif,BISKITA MANASIII ANJ GUA LAPER GUA ADA KELAS GUA PEN REBAHAN ANJIRT ANJIRT,biskita manasi anj gua laper gua ada kelas gua pen rebahan anjirt anjirt
2023-06-05 09:32:22,1.66565e+18,klekalagi,0,0,Negatif,"biskita nih udh berbayar kok ngelunjak banget ya bgst🥲 drtd nunggu ga dateng""🙂 cash gua pas""an lagi gabisa buat angkot🥲🥲🥲🥲🥲🥲🥲",biskita nih udh berbayar kok ngelunjak banget ya bgst drtd nunggu ga dateng cash gua pas an lagi gabisa buat angkot
2023-06-05 04:42:10,1.66558e+18,balsemgorengg,0,0,Negatif,helo pemkot Bogor gw uda nunggu setengah jam biskita ga dapet dapet yg bener aje,helo pemkot bogor gw uda nunggu setengah jam biskita ga dapet dapet yg bener aje
